date,steps,sleep
2016-06-09,9278,7.83333333333
2016-06-08,8038,7.18333333333
2016-06-07,11408,6.8
2016-06-06,8510,7.0
2016-06-03,9210,6.2
2016-06-02,8908,6.58333333333
2016-05-31,8762,6.5
2016-05-30,10155,6.2
2016-05-30,10155,5.91666666667
2016-05-27,8079,7.58333333333
2016-05-26,10058,6.06666666667
2016-05-25,10532,6.23333333333
2016-05-24,10099,7.28333333333
2016-05-24,10099,6.36666666667
2016-05-22,7040,7.16666666667
2016-05-22,7040,6.11666666667
2016-05-20,8800,7.18333333333
2016-05-20,8800,6.63333333333
2016-05-18,8569,7.08333333333
2016-05-17,8589,7.66666666667
2016-05-16,11206,7.21666666667
2016-05-15,12028,6.8
2016-05-14,4569,8.48333333333
2016-05-13,8538,7.56666666667
2016-05-12,8428,7.75
2016-05-11,9575,8.56666666667
2016-05-10,8752,7.28333333333
2016-05-09,8802,7.76666666667
2016-05-08,4176,7.46666666667
2016-05-06,7277,6.5
2016-05-05,13880,6.81666666667
2016-05-04,11204,6.48333333333
2016-05-03,15932,5.85
2016-05-02,10035,6.26666666667
2016-04-30,8488,5.38333333333
2016-04-29,6402,5.61666666667
2016-04-27,10084,7.13333333333
2016-04-27,10084,5.98333333333
2016-04-25,8247,7.25
2016-04-24,8214,7.15
2016-04-24,8214,7.76666666667
2016-04-22,11514,6.45
2016-04-22,11514,6.11666666667
2016-04-19,7951,7.65
2016-04-18,8980,6.83333333333
2016-04-17,9264,7.13333333333
2016-04-16,15869,6.91666666667
2016-04-15,13473,8.1
2016-04-14,9032,6.13333333333
2016-04-13,9574,6.76666666667
2016-04-12,8652,7.98333333333
2016-04-11,8791,7.05027777778
2016-04-11,8791,6.33333333333
2016-04-10,11823,5.06666666667
2016-04-07,8441,6.43333333333
2016-04-06,10056,7.11666666667
2016-04-05,8695,7.98333333333
2016-04-04,9253,6.96666666667
2016-04-03,14968,6.35
2016-04-03,14968,6.95
2016-04-01,9393,8.03333333333
2016-03-31,9613,7.05
2016-03-30,8350,7.31666666667
2016-03-29,10471,6.53333333333
2016-03-29,10471,6.73333333333
2015-11-23,4311,6.98333333333
2015-08-25,11732,7.9
2015-08-14,22516,7.01666666667
2015-08-12,11756,5.8
2015-08-11,12995,6.2
2015-08-11,12995,5.86666666667
2015-08-06,9413,6.85
2015-08-05,13110,6.36666666667
2015-08-03,11749,6.78333333333
2015-08-02,9768,7.11666666667
2015-08-01,18358,7.16666666667
2015-07-30,16334,6.7
2015-07-28,11180,7.4
2015-07-26,6796,6.36666666667
2015-07-25,13803,6.66666666667
2015-07-23,9630,6.48333333333
2015-07-22,11158,7.11666666667
2015-07-21,12196,6.6
2015-07-20,8667,7.41666666667
2015-07-19,14497,7.73333333333
2015-07-18,10375,8.7
2015-07-10,11763,5.95
2015-07-08,9416,7.58333333333
2015-07-08,9416,6.86666666667
2015-07-07,10173,6.91666666667
2015-07-02,10648,8.36666666667
2015-06-28,10937,6.75
2015-06-26,7665,7.16666666667
2015-06-25,9284,6.5
2015-06-23,10719,6.76666666667
2015-06-22,7347,6.93333333333
2015-06-21,10423,6.1
2015-06-19,8432,6.88333333333
2015-06-18,12824,6.08333333333
2015-06-17,10740,7.48333333333
2015-06-11,9217,8.9
2015-06-11,9217,5.78333333333
2015-06-09,6251,5.7
2015-06-07,13548,6.38333333333
2015-06-05,12195,7.76666666667
2015-06-04,11023,6.5
2015-06-03,10933,8.35
2015-06-02,11232,7.35
2015-05-31,12097,6.5
2015-05-29,11195,5.75
2015-05-28,14040,7.05
2015-05-27,13642,6.61666666667
2015-05-24,10877,5.88333333333
2015-05-23,18735,6.55
2015-05-21,11349,6.35
2015-05-19,10559,5.61666666667
2015-05-18,7120,7.38333333333
2015-05-17,17002,7.16666666667
2015-05-17,17002,5.58333333333
2015-05-15,19049,5.71666666667
2015-05-14,12876,6.71666666667
2015-05-13,6496,7.4
2015-05-11,6738,6.53333333333
2015-05-09,7835,6.56666666667
2015-05-08,9696,5.63333333333
2015-05-06,5775,5.5
2015-05-05,6079,6.83333333333
2015-04-29,6796,7.11666666667
2015-04-28,6515,6.96666666667
2015-04-27,9641,6.56666666667
2015-04-26,10531,7.4
2015-04-25,5058,7.58333333333
2015-04-24,8842,7.46666666667
2015-04-24,8842,7.8
2015-04-22,5549,7.21666666667
